barcode_id,brand,product_name,energy_kcal,sodium_mg,has_msg,country
7613036679992,"Maggi, Nestle",Noodle cup Curry,103.0,369.0,0,"Frankreich, Germany"
9555022300030,Mamee,Nouilles orientales arôme de champignons - 85 g - Mamee,78.0,520.0,0,France
5901384503659,"Ajinomoto, Oyakata",Japanese Beef Wasabi,234.0,624.0,1,France
4605496007494,Rollton,Instant Noodles Chicken flavour,451.0,2160.0,0,Germany
8720182414120,Lost the Pot Noodle,Chip Shop Curry Flavour Noodles,122.0,208.0,1,en:United Kingdom
3036815444712,Daisuki,Nouilles saveur Bœuf Guydon,172.0,440.0,0,France
4023900545460,Bamboo Garden,Eier Mie Nudeln,366.0,160.0,0,en:Germany
7613035897427,MAGGI,Fix Magic Asia Gebratene Nudeln,200.0,620.0,0,Alemania
8801128542609,Mr min,Nouilles instantanée,77.0,312.0,0,France
5997523313050,Nissin,CUP NOODLES Curry,85.0,440.0,1,en:fr
6921555509340,Unknown,Tomyum,461.0,1880.0,0,en:france
3263850450167,Leader Price,Noodles Leaderprice saveur boeuf,110.0,280.0,1,en:fr
6091091008369,Apollo,Nouilles Dan Bol Curry Apollo,460.0,340.0,1,France
4580352290121,Samyang,Potato ramen,433.0,1659.0,1,"France,Norway"
0055000490955,"Maggi,Nestlé",Masala Festive Pack Authentic Indian Noodles,443.0,1390.0,0,Canada
5057172957576,Asda,Noodles,162.0,0.0,0,en:gb
3263850450464,Leader Price,Noodles Saveur Curry,110.0,280.0,1,France
6923744359125,Unknown,Noodles orientales saveur crevettes,110.0,280.0,0,en:fr
8410300351610,gallina blanca,Yatekomo pollo con soja,205.0,680.0,0,España
0074603005892,Samyang,Sogokimyun,408.0,1760.0,1,"Germany,United States"
8906013032187,WAIWAI,WAI WAI,469.0,500.0,1,en:India
0089686170078,Govedina,Indo Mie Beef Noodles,440.0,1380.0,0,France
5901882110168,Vifon,,0.0,0.0,1,"Belgium,Poland"
8711327414938,Knorr,Pasta Snack Pot &quot;Pilz & Rahm&quot;,104.0,280.0,0,Germany
8850987131776,Thai agri foods co ltd,Mama Soupe Tum Yum,81.9,320.0,1,France
4897878830015,Nissin,Bkack Garlic Oil Tonkotsu Flavour,447.0,1650.0,1,"Frankreich,Deutschland"
8801043032049,Nongshim,"Pomme De Terre Nouilles Instantanées, Saveur douce",454.0,1800.0,1,"Francia,España"
8714100750612,knorr,noodles tomato,0.0,0.0,0,"Lithuania,Czech Republic"
8901014011117,"Nissin,Top Ramen",Top Ramen Atta Masala Noodles,455.15,1259300.0,0,India
8850987101489,"mama,มาม่า",,467.0,3050.0,0,Thailand
8901595963348,Ching's secret,chings noodlesd,117.0,367.0,0,"Australia, en:india"
8445291175006,Maggi,MAGGI® Nouilles instantanées sauce Teriyaki 75g,462.0,1360.0,0,en:fr
8721082875196,"Unknown, Tummie Time",Pad Thai Rice Noodles,359.0,1340.0,0,"Frankreich, Germany"
4088600249209,Asian Inspired,Singapore Curry Egg Noodles,88.0,240.0,0,en:United Kingdom
